country,email,password,role,userName,classGroup,_id
Nigeria,chidi.okechukwu51@example.com,ChidiOkechukwu123,student,Chidi Okechukwu,665c7baf869680ba3df6c473,
Kenya,wanjiku.mutua52@example.com,WanjikuMutua123,student,Wanjiku Mutua,665c7baf869680ba3df6c473,
Ethiopia,abebe.teka53@example.com,AbebeTeka123,student,Abebe Teka,665c7baf869680ba3df6c473,
Ghana,nana.amoah54@example.com,NanaAmoah123,student,Nana Amoah,665c7baf869680ba3df6c473,
Uganda,kabaka.kato55@example.com,KabakaKato123,student,Kabaka Kato,665c7baf869680ba3df6c473,
Tanzania,aisha.mwinyi56@example.com,AishaMwinyi123,student,Aisha Mwinyi,665c7baf869680ba3df6c473,
Zimbabwe,tendai.chikwenya57@example.com,TendaiChikwenya123,student,Tendai Chikwenya,665c7baf869680ba3df6c474,
Zambia,mutale.nkandu58@example.com,MutaleNkandu123,student,Mutale Nkandu,665c7baf869680ba3df6c474,
Malawi,chimwemwe.moyo59@example.com,ChimwemweMoyo123,student,Chimwemwe Moyo,665c7baf869680ba3df6c474,
Namibia,kashe.mupupa60@example.com,KasheMupupa123,student,Kashe Mupupa,665c7baf869680ba3df6c474,
Botswana,gomolemo.sebele61@example.com,GomolemoSebele123,student,Gomolemo Sebele,665c7baf869680ba3df6c474,
Lesotho,ntlaba.matseliso62@example.com,NtlabaMatseliso123,student,Ntlaba Matseliso,665c7baf869680ba3df6c474,
Eswatini,lunga.maseko63@example.com,LungaMaseko123,student,Lunga Maseko,665c7baf869680ba3df6c474,
Mozambique,lourenco.matsinhe64@example.com,LourencoMatsinhe123,student,Lourenco Matsinhe,665c7baf869680ba3df6c474,
Madagascar,faniry.rakotoarisoa65@example.com,FaniryRakotoarisoa123,student,Faniry Rakotoarisoa,665c7baf869680ba3df6c474,
Seychelles,anjali.ramkalawan66@example.com,AnjaliRamkalawan123,student,Anjali Ramkalawan,665c7baf869680ba3df6c474,
Mauritius,vikash.rajah67@example.com,VikashRajah123,student,Vikash Rajah,665c7baf869680ba3df6c475,
Comoros,hadjira.abdallah68@example.com,HadjiraAbdallah123,student,Hadjira Abdallah,665c7baf869680ba3df6c475,
Morocco,nabila.fassi69@example.com,NabilaFassi123,student,Nabila Fassi,665c7baf869680ba3df6c475,
Algeria,nour.benamara70@example.com,NourBenamara123,student,Nour Benamara,665c7baf869680ba3df6c475,
Tunisia,rami.chahed71@example.com,RamiChahed123,student,Rami Chahed,665c7baf869680ba3df6c475,
Libya,khadija.saad72@example.com,KhadijaSaad123,student,Khadija Saad,665c7baf869680ba3df6c475,
Mauritania,cheikh.sidi73@example.com,CheikhSidi123,student,Cheikh Sidi,665c7baf869680ba3df6c475,
Mali,fatoumata.traore74@example.com,FatoumataTraore123,student,Fatoumata Traore,665c7baf869680ba3df6c475,
Senegal,amadou.ba75@example.com,AmadouBa123,student,Amadou Ba,665c7baf869680ba3df6c475,
Gambia,yusuf.jammeh76@example.com,YusufJammeh123,student,Yusuf Jammeh,665c7baf869680ba3df6c475,
Guinea,mariam.diallo77@example.com,MariamDiallo123,student,Mariam Diallo,665c7baf869680ba3df6c476,
Guinea-Bissau,mamadu.djassi78@example.com,MamaduDjassi123,student,Mamadu Djassi,665c7baf869680ba3df6c476,
Sierra Leone,jeneba.kamara79@example.com,JenebaKamara123,student,Jeneba Kamara,665c7baf869680ba3df6c476,
Liberia,trokon.brown80@example.com,TrokonBrown123,student,Trokon Brown,665c7baf869680ba3df6c476,
Ivory Coast,abou.kone81@example.com,AbouKone123,student,Abou Kone,665c7baf869680ba3df6c476,
Burkina Faso,rosalie.ouedraogo82@example.com,RosalieOuedraogo123,student,Rosalie Ouedraogo,665c7baf869680ba3df6c476,
Togo,yaw.dossou83@example.com,YawDossou123,student,Yaw Dossou,665c7baf869680ba3df6c476,
Benin,aminatou.soglo84@example.com,AminatouSoglo123,student,Aminatou Soglo,665c7baf869680ba3df6c476,
Niger,boubacar.mahamane85@example.com,BoubacarMahamane123,student,Boubacar Mahamane,665c7baf869680ba3df6c476,
Chad,abakar.youssouf86@example.com,AbakarYoussouf123,student,Abakar Youssouf,665c7baf869680ba3df6c476,
Cameroon,ngoh.manfred87@example.com,NgohManfred123,student,Ngoh Manfred,665c7baf869680ba3df6c477,
Central African Republic,rosine.mbringa88@example.com,RosineMbringa123,student,Rosine Mbringa,665c7baf869680ba3df6c477,
Congo,sebastien.sassou89@example.com,SebastienSassou123,student,Sebastien Sassou,665c7baf869680ba3df6c477,
Gabon,angelique.bongo90@example.com,AngeliqueBongo123,student,Angelique Bongo,665c7baf869680ba3df6c477,
Equatorial Guinea,teodoro.obiang91@example.com,TeodoroObiang123,student,Teodoro Obiang,665c7baf869680ba3df6c477,
Gabon,raphael.ngoma92@example.com,RaphaelNgoma123,student,Raphael Ngoma,665c7baf869680ba3df6c477,
Ghana,yaw.kusi93@example.com,YawKusi123,student,Yaw Kusi,665c7baf869680ba3df6c478,
Tanzania,zainabu.kassim94@example.com,ZainabuKassim123,student,Zainabu Kassim,665c7baf869680ba3df6c478,
Nigeria,olabisi.adebayo95@example.com,OlabisiAdebayo123,student,Olabisi Adebayo,665c7baf869680ba3df6c478,
Kenya,auma.odhiambo96@example.com,AumaOdhiambo123,student,Auma Odhiambo,665c7baf869680ba3df6c478,
Uganda,nsereko.lule97@example.com,NserekoLule123,student,Nsereko Lule,665c7baf869680ba3df6c478,
Ethiopia,fikru.gebre98@example.com,FikruGebre123,student,Fikru Gebre,665c7baf869680ba3df6c478,
South Africa,nomvula.msimang99@example.com,NomvulaMsimang123,student,Nomvula Msimang,665c7baf869680ba3df6c478,
Botswana,tebogo.sesupo100@example.com,TebogoSesupo123,student,Tebogo Sesupo,665c7baf869680ba3df6c478,
